what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326303189661
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1326303204296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326303207750
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326303208710
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1326303213600
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1326303214000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326303215120
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326303257718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326303388779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326303396979
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326303445247
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326303446853
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1326303453936
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326303461595
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1326303482406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326303484215
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326303640789
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326303674110
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326303712649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326303723943
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326303837714
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326303900909
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1326303904061
activated,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.layout.LayoutEditor",1326303912578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326303930705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326303981371
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326303984194
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326303985115
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326304019981
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326304021213
